mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time_ms
tadSyncid4id1.xml,tadSyncid0id4.xml,tadSyncid0id44,PASSED,10,10,6
tadSyncid0id4.xml,tadSyncid4id1.xml,tadSyncid4id18,TIMEOUT,10,10,6
tadSyncid4id1.xml,tadSyncid3id2.xml,tadSyncid3id25,PASSED,10,10,6
tadSyncid3id2.xml,tadSyncid4id1.xml,tadSyncid4id110,TIMEOUT,10,10,5
tadSyncid4id1.xml,tadSyncid5id0.xml,tadSyncid5id010,TIMEOUT,10,10,6
tadSyncid5id0.xml,tadSyncid4id1.xml,tadSyncid4id11,PASSED,10,10,28
tadSyncid4id1.xml,tadSyncid3id1.xml,tadSyncid3id110,PASSED,10,10,6
tadSyncid3id1.xml,tadSyncid4id1.xml,tadSyncid4id13,TIMEOUT,10,10,7
tadSyncid4id1.xml,tadSyncid1id4.xml,tadSyncid1id49,PASSED,10,10,6
tadSyncid1id4.xml,tadSyncid4id1.xml,tadSyncid4id11,TIMEOUT,10,10,5
tadSyncid4id1.xml,tadSyncid2id3.xml,tadSyncid2id33,PASSED,10,10,6
tadSyncid2id3.xml,tadSyncid4id1.xml,tadSyncid4id14,PASSED,10,10,25
tadSyncid4id1.xml,tadSyncid5id3.xml,tadSyncid5id32,PASSED,10,10,6
tadSyncid5id3.xml,tadSyncid4id1.xml,tadSyncid4id16,PASSED,10,10,24
tadSyncid4id1.xml,tmi13.xml,tmi132,PASSED,10,10,6
tmi13.xml,tadSyncid4id1.xml,tadSyncid4id17,TIMEOUT,10,10,5
tadSyncid4id1.xml,tadSyncid5id1.xml,tadSyncid5id12,PASSED,10,10,6
tadSyncid5id1.xml,tadSyncid4id1.xml,tadSyncid4id11,PASSED,10,10,24
tadSyncid4id1.xml,tmi6.xml,tmi67,PASSED,10,10,5
tmi6.xml,tadSyncid4id1.xml,tadSyncid4id11,TIMEOUT,10,10,5
tadSyncid4id1.xml,tadSyncid5id5.xml,tadSyncid5id52,TIMEOUT,10,10,6
tadSyncid5id5.xml,tadSyncid4id1.xml,tadSyncid4id13,PASSED,10,10,26
tadSyncid4id1.xml,ccn1.xml,ccn12,PASSED,10,10,6
ccn1.xml,tadSyncid4id1.xml,tadSyncid4id110,TIMEOUT,10,10,5
tadSyncid4id1.xml,cxs2.xml,cxs23,PASSED,10,10,6
cxs2.xml,tadSyncid4id1.xml,tadSyncid4id12,FAILED,10,1,4
tadSyncid4id1.xml,tadSyncid2id1.xml,tadSyncid2id110,PASSED,10,10,6
tadSyncid2id1.xml,tadSyncid4id1.xml,tadSyncid4id18,PASSED,10,10,39
tadSyncid4id1.xml,tadSyncid4id4.xml,tadSyncid4id41,TIMEOUT,10,10,8
tadSyncid4id4.xml,tadSyncid4id1.xml,tadSyncid4id17,PASSED,10,10,82
tadSyncid4id1.xml,tmi2.xml,tmi210,PASSED,10,10,6
tmi2.xml,tadSyncid4id1.xml,tadSyncid4id110,TIMEOUT,10,10,6
tadSyncid4id1.xml,tadSyncid1id0.xml,tadSyncid1id09,PASSED,10,10,6
tadSyncid1id0.xml,tadSyncid4id1.xml,tadSyncid4id110,TIMEOUT,10,10,5
tadSyncid4id1.xml,tadSyncid0id2.xml,tadSyncid0id24,PASSED,10,10,12
tadSyncid0id2.xml,tadSyncid4id1.xml,tadSyncid4id11,TIMEOUT,10,10,6
tadSyncid4id1.xml,tadSyncid4id3.xml,tadSyncid4id39,PASSED,10,10,27
tadSyncid4id3.xml,tadSyncid4id1.xml,tadSyncid4id13,PASSED,10,10,29
tadSyncid4id1.xml,tadSyncid1id5.xml,tadSyncid1id59,PASSED,10,10,5
tadSyncid1id5.xml,tadSyncid4id1.xml,tadSyncid4id110,TIMEOUT,10,10,6
tadSyncid4id1.xml,tadSyncid2id0.xml,tadSyncid2id010,PASSED,10,10,5
tadSyncid2id0.xml,tadSyncid4id1.xml,tadSyncid4id17,PASSED,10,10,24
tadSyncid4id1.xml,tmi12.xml,tmi129,PASSED,10,10,5
tmi12.xml,tadSyncid4id1.xml,tadSyncid4id13,TIMEOUT,10,10,5
tadSyncid4id1.xml,smiTemplateid1.xml,smiTemplateid18,PASSED,10,10,6
smiTemplateid1.xml,tadSyncid4id1.xml,tadSyncid4id18,TIMEOUT,10,10,5
tadSyncid4id1.xml,tmi10.xml,tmi109,PASSED,10,10,5
tmi10.xml,tadSyncid4id1.xml,tadSyncid4id19,TIMEOUT,10,10,5
tadSyncid4id1.xml,tadSyncid3id3.xml,tadSyncid3id35,PASSED,10,10,5
tadSyncid3id3.xml,tadSyncid4id1.xml,tadSyncid4id18,TIMEOUT,10,10,14
tadSyncid4id1.xml,tadSyncid0id5.xml,tadSyncid0id55,PASSED,10,10,6
tadSyncid0id5.xml,tadSyncid4id1.xml,tadSyncid4id12,TIMEOUT,10,10,5
tadSyncid4id1.xml,tadSyncid5id2.xml,tadSyncid5id24,TIMEOUT,10,10,5
tadSyncid5id2.xml,tadSyncid4id1.xml,tadSyncid4id16,PASSED,10,10,23
tadSyncid4id1.xml,tmi11.xml,tmi118,PASSED,10,10,11
tmi11.xml,tadSyncid4id1.xml,tadSyncid4id11,TIMEOUT,10,10,5
ccn2.xml,tadSyncid3id4.xml,tadSyncid3id45,PASSED,10,10,30
tadSyncid3id4.xml,ccn2.xml,ccn26,PASSED,10,10,31
ccn2.xml,tadSyncid2id4.xml,tadSyncid2id41,PASSED,10,10,28
tadSyncid2id4.xml,ccn2.xml,ccn22,PASSED,10,10,5
ccn2.xml,cxs1.xml,cxs13,PASSED,10,10,26
cxs1.xml,ccn2.xml,ccn24,FAILED,10,1,4
ccn2.xml,smiTemplateid4.xml,smiTemplateid46,PASSED,10,10,26
smiTemplateid4.xml,ccn2.xml,ccn21,PASSED,10,10,25
ccn2.xml,tadSyncid0id0.xml,tadSyncid0id04,PASSED,10,10,26
tadSyncid0id0.xml,ccn2.xml,ccn28,PASSED,10,10,27
ccn2.xml,tadSyncid3id0.xml,tadSyncid3id05,PASSED,10,10,26
tadSyncid3id0.xml,ccn2.xml,ccn28,PASSED,10,10,27
ccn2.xml,tmi4.xml,tmi42,PASSED,10,10,31
tmi4.xml,ccn2.xml,ccn29,PASSED,10,10,27
ccn2.xml,tadSyncid0id3.xml,tadSyncid0id35,PASSED,10,10,28
tadSyncid0id3.xml,ccn2.xml,ccn22,PASSED,10,10,31
ccn2.xml,tadSyncid0id4.xml,tadSyncid0id45,PASSED,10,10,28
tadSyncid0id4.xml,ccn2.xml,ccn29,PASSED,10,10,26
ccn2.xml,tadSyncid3id2.xml,tadSyncid3id25,PASSED,10,10,25
tadSyncid3id2.xml,ccn2.xml,ccn27,PASSED,10,10,26
ccn2.xml,tadSyncid5id0.xml,tadSyncid5id01,TIMEOUT,10,10,5
tadSyncid5id0.xml,ccn2.xml,ccn22,PASSED,10,10,5
ccn2.xml,tadSyncid3id1.xml,tadSyncid3id15,PASSED,10,10,26
tadSyncid3id1.xml,ccn2.xml,ccn28,PASSED,10,10,32
ccn2.xml,tadSyncid1id4.xml,tadSyncid1id410,PASSED,10,10,26
tadSyncid1id4.xml,ccn2.xml,ccn21,PASSED,10,10,27
ccn2.xml,tadSyncid2id3.xml,tadSyncid2id31,PASSED,10,10,26
tadSyncid2id3.xml,ccn2.xml,ccn23,PASSED,10,10,6
ccn2.xml,tadSyncid5id3.xml,tadSyncid5id31,TIMEOUT,10,10,5
