mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
cxs1.xml,tmi1.xml,Template9,INCONCLUSIVE,13,13,5
tmi1.xml,cxs1.xml,Template6,TIMEOUT,21,21,6
smiTemplateid4.xml,tmi1.xml,Template7,FAILED,7,1,6
tmi1.xml,smiTemplateid4.xml,Template2,TIMEOUT,6,6,6
tadSyncid0id0.xml,tmi1.xml,Template15,TIMEOUT,20,20,27
tmi1.xml,tadSyncid0id0.xml,Template16,TIMEOUT,20,20,26
tadSyncid3id0.xml,tmi1.xml,Template10,TIMEOUT,19,19,29
tmi1.xml,tadSyncid3id0.xml,Template7,TIMEOUT,18,18,5
tmi4.xml,tmi1.xml,Template16,FAILED,22,12,8
tmi1.xml,tmi4.xml,Template19,TIMEOUT,19,19,26
tadSyncid0id3.xml,tmi1.xml,Template10,TIMEOUT,17,17,27
tmi1.xml,tadSyncid0id3.xml,Template3,FAILED,19,13,6
tadSyncid0id4.xml,tmi1.xml,Template12,TIMEOUT,12,12,7
tmi1.xml,tadSyncid0id4.xml,Template13,TIMEOUT,16,16,5
tadSyncid3id2.xml,tmi1.xml,Template15,TIMEOUT,15,15,6
tmi1.xml,tadSyncid3id2.xml,Template3,TIMEOUT,19,19,6
tadSyncid5id0.xml,tmi1.xml,Template1,TIMEOUT,13,13,6
tmi1.xml,tadSyncid5id0.xml,Template1,FAILED,14,8,5
tmi1.xml,tadSyncid3id1.xml,Template10,TIMEOUT,17,17,28
tadSyncid3id1.xml,tmi1.xml,Template6,TIMEOUT,18,18,6
tadSyncid1id4.xml,tmi1.xml,Template3,TIMEOUT,14,14,5
tmi1.xml,tadSyncid1id4.xml,Template13,TIMEOUT,13,13,6
tadSyncid2id3.xml,tmi1.xml,Template8,TIMEOUT,17,17,6
tmi1.xml,tadSyncid2id3.xml,Template3,FAILED,19,13,6
tadSyncid5id3.xml,tmi1.xml,Template6,TIMEOUT,16,16,6
tmi1.xml,tadSyncid5id3.xml,Template3,FAILED,13,8,6
tmi13.xml,tmi1.xml,Template7,FAILED,11,1,6
tmi1.xml,tmi13.xml,Template10,TIMEOUT,11,11,5
tmi1.xml,tadSyncid5id1.xml,Template3,FAILED,16,1,7
tadSyncid5id1.xml,tmi1.xml,Template8,TIMEOUT,15,15,6
tmi1.xml,tmi6.xml,Template7,TIMEOUT,16,16,6
tmi6.xml,tmi1.xml,Template18,TIMEOUT,20,20,7
tadSyncid5id5.xml,tmi1.xml,Template12,TIMEOUT,17,17,6
tmi1.xml,tadSyncid5id5.xml,Template5,TIMEOUT,10,10,7
tmi1.xml,ccn1.xml,Template9,TIMEOUT,19,19,7
ccn1.xml,tmi1.xml,Template3,TIMEOUT,20,20,27
cxs2.xml,tmi1.xml,Template10,INCONCLUSIVE,19,19,4
tmi1.xml,cxs2.xml,Template1,TIMEOUT,19,19,5
tmi1.xml,tadSyncid2id1.xml,Template2,TIMEOUT,13,13,7
tadSyncid2id1.xml,tmi1.xml,Template9,TIMEOUT,19,19,5
tadSyncid4id4.xml,tmi1.xml,Template1,TIMEOUT,13,13,6
tmi1.xml,tadSyncid4id4.xml,Template3,TIMEOUT,14,14,24
tmi2.xml,tmi1.xml,Template11,TIMEOUT,11,11,27
tmi1.xml,tmi2.xml,Template1,TIMEOUT,15,15,7
tadSyncid1id0.xml,tmi1.xml,Template6,TIMEOUT,21,21,6
tmi1.xml,tadSyncid1id0.xml,Template4,TIMEOUT,16,16,6
tadSyncid0id2.xml,tmi1.xml,Template17,TIMEOUT,17,17,6
tmi1.xml,tadSyncid0id2.xml,Template15,TIMEOUT,17,17,28
tadSyncid4id3.xml,tmi1.xml,Template1,TIMEOUT,12,12,5
tmi1.xml,tadSyncid4id3.xml,Template3,FAILED,14,8,6
tmi1.xml,tadSyncid1id5.xml,Template8,TIMEOUT,16,16,27
tadSyncid1id5.xml,tmi1.xml,Template13,TIMEOUT,13,13,6
tadSyncid2id0.xml,tmi1.xml,Template9,TIMEOUT,11,11,6
tmi1.xml,tadSyncid2id0.xml,Template8,TIMEOUT,9,9,6
tmi1.xml,tmi12.xml,Template10,TIMEOUT,10,10,5
tmi12.xml,tmi1.xml,Template11,TIMEOUT,11,11,26
smiTemplateid1.xml,tmi1.xml,Template1,FAILED,19,7,6
tmi1.xml,smiTemplateid1.xml,Template13,TIMEOUT,18,18,6
tmi10.xml,tmi1.xml,Template9,TIMEOUT,11,11,26
tmi1.xml,tmi10.xml,Template9,TIMEOUT,10,10,25
tadSyncid3id3.xml,tmi1.xml,Template1,TIMEOUT,22,22,5
tmi1.xml,tadSyncid3id3.xml,Template10,TIMEOUT,16,16,28
tmi1.xml,tadSyncid0id5.xml,Template5,TIMEOUT,16,16,25
tadSyncid0id5.xml,tmi1.xml,Template9,TIMEOUT,12,12,29
tmi1.xml,tadSyncid5id2.xml,Template2,FAILED,9,5,5
tadSyncid5id2.xml,tmi1.xml,Template7,TIMEOUT,12,12,5
tmi11.xml,tmi1.xml,Template10,TIMEOUT,11,11,6
tmi1.xml,tmi11.xml,Template4,TIMEOUT,11,11,24
tadSyncid1id2.xml,tadSyncid4id1.xml,Template5,FAILED,12,3,6
tadSyncid4id1.xml,tadSyncid1id2.xml,Template9,TIMEOUT,12,12,5
ccn2.xml,tadSyncid1id2.xml,Template10,TIMEOUT,14,14,7
tadSyncid1id2.xml,ccn2.xml,Template15,TIMEOUT,18,18,30
tadSyncid3id4.xml,tadSyncid1id2.xml,Template1,TIMEOUT,13,13,26
tadSyncid1id2.xml,tadSyncid3id4.xml,Template3,TIMEOUT,11,11,6
tadSyncid1id2.xml,tadSyncid2id4.xml,Template12,TIMEOUT,14,14,7
tadSyncid2id4.xml,tadSyncid1id2.xml,Template5,TIMEOUT,13,13,6
tadSyncid1id2.xml,cxs1.xml,Template15,TIMEOUT,16,16,6
cxs1.xml,tadSyncid1id2.xml,Template13,INCONCLUSIVE,19,19,4
smiTemplateid4.xml,tadSyncid1id2.xml,Template7,FAILED,7,1,6
tadSyncid1id2.xml,smiTemplateid4.xml,Template2,TIMEOUT,6,6,6
tadSyncid1id2.xml,tadSyncid0id0.xml,Template16,TIMEOUT,16,16,6
tadSyncid0id0.xml,tadSyncid1id2.xml,Template9,TIMEOUT,17,17,25
tadSyncid3id0.xml,tadSyncid1id2.xml,Template3,TIMEOUT,16,16,25
tadSyncid1id2.xml,tadSyncid3id0.xml,Template9,TIMEOUT,17,17,6
tadSyncid1id2.xml,tmi4.xml,Template9,TIMEOUT,19,19,30
tmi4.xml,tadSyncid1id2.xml,Template4,FAILED,19,17,6
tadSyncid0id3.xml,tadSyncid1id2.xml,Template11,TIMEOUT,18,18,28
tadSyncid1id2.xml,tadSyncid0id3.xml,Template4,FAILED,17,11,5
tadSyncid1id2.xml,tadSyncid0id4.xml,Template13,TIMEOUT,13,13,7
tadSyncid0id4.xml,tadSyncid1id2.xml,Template5,TIMEOUT,12,12,5
tadSyncid1id2.xml,tadSyncid3id2.xml,Template2,TIMEOUT,13,13,5
tadSyncid3id2.xml,tadSyncid1id2.xml,Template16,TIMEOUT,17,17,28
tadSyncid5id0.xml,tadSyncid1id2.xml,Template2,TIMEOUT,13,13,23
tadSyncid1id2.xml,tadSyncid5id0.xml,Template2,FAILED,8,2,5
tadSyncid1id2.xml,tadSyncid3id1.xml,Template10,TIMEOUT,19,19,7
tadSyncid3id1.xml,tadSyncid1id2.xml,Template9,TIMEOUT,19,19,26
tadSyncid1id4.xml,tadSyncid1id2.xml,Template17,TIMEOUT,18,18,5
tadSyncid1id2.xml,tadSyncid1id4.xml,Template16,TIMEOUT,16,16,7
tadSyncid2id3.xml,tadSyncid1id2.xml,Template11,TIMEOUT,13,13,5
tadSyncid1id2.xml,tadSyncid2id3.xml,Template3,FAILED,19,14,6
tadSyncid5id3.xml,tadSyncid1id2.xml,Template7,TIMEOUT,11,11,7
tadSyncid1id2.xml,tadSyncid5id3.xml,Template4,FAILED,13,8,5
tmi13.xml,tadSyncid1id2.xml,Template7,FAILED,7,2,6
tadSyncid1id2.xml,tmi13.xml,Template1,TIMEOUT,6,6,8
tadSyncid1id2.xml,tadSyncid5id1.xml,Template5,FAILED,11,2,6
tadSyncid5id1.xml,tadSyncid1id2.xml,Template9,TIMEOUT,12,12,5
tadSyncid1id2.xml,tmi6.xml,Template8,TIMEOUT,20,20,5
tmi6.xml,tadSyncid1id2.xml,Template3,TIMEOUT,17,17,5
tadSyncid1id2.xml,tadSyncid5id5.xml,Template4,TIMEOUT,12,12,27
tadSyncid5id5.xml,tadSyncid1id2.xml,Template4,TIMEOUT,10,10,5
tadSyncid1id2.xml,ccn1.xml,Template3,TIMEOUT,14,14,28
ccn1.xml,tadSyncid1id2.xml,Template5,TIMEOUT,16,16,7
cxs2.xml,tadSyncid1id2.xml,Template19,INCONCLUSIVE,20,20,6
tadSyncid1id2.xml,cxs2.xml,Template19,TIMEOUT,20,20,27
tadSyncid1id2.xml,tadSyncid2id1.xml,Template1,TIMEOUT,14,14,25
tadSyncid2id1.xml,tadSyncid1id2.xml,Template1,TIMEOUT,17,17,6
tadSyncid4id4.xml,tadSyncid1id2.xml,Template5,TIMEOUT,11,11,6
tadSyncid1id2.xml,tadSyncid4id4.xml,Template2,TIMEOUT,13,13,28
tmi2.xml,tadSyncid1id2.xml,Template10,TIMEOUT,10,10,28
tadSyncid1id2.xml,tmi2.xml,Template1,TIMEOUT,13,13,23
tadSyncid1id0.xml,tadSyncid1id2.xml,Template3,TIMEOUT,15,15,26
tadSyncid1id2.xml,tadSyncid1id0.xml,Template19,TIMEOUT,20,20,7
tadSyncid0id2.xml,tadSyncid1id2.xml,Template8,TIMEOUT,23,23,25
tadSyncid1id2.xml,tadSyncid0id2.xml,Template14,TIMEOUT,14,14,5
tadSyncid4id3.xml,tadSyncid1id2.xml,Template7,TIMEOUT,8,8,7
tadSyncid1id2.xml,tadSyncid4id3.xml,Template4,FAILED,12,4,5
tadSyncid1id2.xml,tadSyncid1id5.xml,Template7,TIMEOUT,16,16,27
tadSyncid1id5.xml,tadSyncid1id2.xml,Template4,TIMEOUT,17,17,28
tadSyncid1id2.xml,tadSyncid2id0.xml,Template7,TIMEOUT,13,13,6
tadSyncid2id0.xml,tadSyncid1id2.xml,Template18,TIMEOUT,19,19,6
tadSyncid1id2.xml,tmi12.xml,Template6,TIMEOUT,7,7,5
tmi12.xml,tadSyncid1id2.xml,Template2,TIMEOUT,7,7,6
smiTemplateid1.xml,tadSyncid1id2.xml,Template1,FAILED,14,1,7
tadSyncid1id2.xml,smiTemplateid1.xml,Template1,TIMEOUT,14,14,24
tmi10.xml,tadSyncid1id2.xml,Template5,TIMEOUT,8,8,8
tadSyncid1id2.xml,tmi10.xml,Template2,TIMEOUT,7,7,29
tadSyncid3id3.xml,tadSyncid1id2.xml,Template7,TIMEOUT,17,17,5
tadSyncid1id2.xml,tadSyncid3id3.xml,Template10,TIMEOUT,13,13,27
tadSyncid1id2.xml,tadSyncid0id5.xml,Template4,TIMEOUT,11,11,5
tadSyncid0id5.xml,tadSyncid1id2.xml,Template12,TIMEOUT,13,13,32
tadSyncid1id2.xml,tadSyncid5id2.xml,Template11,FAILED,15,4,6
tadSyncid5id2.xml,tadSyncid1id2.xml,Template15,TIMEOUT,18,18,6
tadSyncid1id2.xml,tmi11.xml,Template8,TIMEOUT,8,8,5
tmi11.xml,tadSyncid1id2.xml,Template4,TIMEOUT,7,7,6
ccn2.xml,tadSyncid4id1.xml,Template4,FAILED,16,1,6
tadSyncid4id1.xml,ccn2.xml,Template4,TIMEOUT,16,16,5
tadSyncid3id4.xml,tadSyncid4id1.xml,Template2,FAILED,10,4,6
tadSyncid4id1.xml,tadSyncid3id4.xml,Template8,TIMEOUT,13,13,24
tadSyncid2id4.xml,tadSyncid4id1.xml,Template6,FAILED,12,1,8
tadSyncid4id1.xml,tadSyncid2id4.xml,Template9,TIMEOUT,14,14,5
cxs1.xml,tadSyncid4id1.xml,Template12,INCONCLUSIVE,17,17,5
tadSyncid4id1.xml,cxs1.xml,Template9,TIMEOUT,15,15,24
smiTemplateid4.xml,tadSyncid4id1.xml,Template1,FAILED,7,1,6
tadSyncid4id1.xml,smiTemplateid4.xml,Template3,TIMEOUT,6,6,6
tadSyncid0id0.xml,tadSyncid4id1.xml,Template5,FAILED,9,1,9
tadSyncid4id1.xml,tadSyncid0id0.xml,Template1,TIMEOUT,13,13,5
tadSyncid3id0.xml,tadSyncid4id1.xml,Template2,FAILED,15,8,6
tadSyncid4id1.xml,tadSyncid3id0.xml,Template1,TIMEOUT,10,10,5
tmi4.xml,tadSyncid4id1.xml,Template13,FAILED,14,5,6
tadSyncid4id1.xml,tmi4.xml,Template2,TIMEOUT,16,16,6
tadSyncid0id3.xml,tadSyncid4id1.xml,Template4,FAILED,13,2,5
tadSyncid4id1.xml,tadSyncid0id3.xml,Template4,TIMEOUT,11,11,31
tadSyncid0id4.xml,tadSyncid4id1.xml,Template4,FAILED,13,5,7
tadSyncid4id1.xml,tadSyncid0id4.xml,Template9,TIMEOUT,13,13,6
tadSyncid3id2.xml,tadSyncid4id1.xml,Template4,FAILED,12,4,6
tadSyncid4id1.xml,tadSyncid3id2.xml,Template10,TIMEOUT,10,10,5
tadSyncid5id0.xml,tadSyncid4id1.xml,Template7,FAILED,9,5,6
tadSyncid4id1.xml,tadSyncid5id0.xml,Template1,TIMEOUT,10,10,4
tadSyncid4id1.xml,tadSyncid3id1.xml,Template5,TIMEOUT,12,12,5
tadSyncid3id1.xml,tadSyncid4id1.xml,Template2,FAILED,17,2,6
tadSyncid1id4.xml,tadSyncid4id1.xml,Template3,FAILED,17,3,6
tadSyncid4id1.xml,tadSyncid1id4.xml,Template6,TIMEOUT,17,17,5
tadSyncid2id3.xml,tadSyncid4id1.xml,Template3,FAILED,11,8,7
tadSyncid4id1.xml,tadSyncid2id3.xml,Template4,FAILED,11,3,10
tadSyncid5id3.xml,tadSyncid4id1.xml,Template2,FAILED,10,6,7
tadSyncid4id1.xml,tadSyncid5id3.xml,Template1,TIMEOUT,8,8,5
tmi13.xml,tadSyncid4id1.xml,Template8,FAILED,9,2,7
tadSyncid4id1.xml,tmi13.xml,Template10,TIMEOUT,10,10,8
tadSyncid4id1.xml,tadSyncid5id1.xml,Template15,TIMEOUT,15,15,6
tadSyncid5id1.xml,tadSyncid4id1.xml,Template10,TIMEOUT,15,15,6
tadSyncid4id1.xml,tmi6.xml,Template1,TIMEOUT,13,13,27
tmi6.xml,tadSyncid4id1.xml,Template10,FAILED,11,2,6
tadSyncid5id5.xml,tadSyncid4id1.xml,Template9,FAILED,10,2,6
tadSyncid4id1.xml,tadSyncid5id5.xml,Template5,TIMEOUT,11,11,6
tadSyncid4id1.xml,ccn1.xml,Template12,TIMEOUT,17,17,6
ccn1.xml,tadSyncid4id1.xml,Template2,FAILED,15,2,6
cxs2.xml,tadSyncid4id1.xml,Template15,INCONCLUSIVE,15,15,5
tadSyncid4id1.xml,cxs2.xml,Template4,TIMEOUT,14,14,27
tadSyncid4id1.xml,tadSyncid2id1.xml,Template12,TIMEOUT,16,16,5
tadSyncid2id1.xml,tadSyncid4id1.xml,Template9,TIMEOUT,17,17,6
tadSyncid4id4.xml,tadSyncid4id1.xml,Template3,FAILED,12,6,6
tadSyncid4id1.xml,tadSyncid4id4.xml,Template9,TIMEOUT,15,15,5
tmi2.xml,tadSyncid4id1.xml,Template4,FAILED,7,1,9
tadSyncid4id1.xml,tmi2.xml,Template7,TIMEOUT,7,7,6
tadSyncid1id0.xml,tadSyncid4id1.xml,Template3,FAILED,12,5,5
tadSyncid4id1.xml,tadSyncid1id0.xml,Template5,TIMEOUT,16,16,6
tadSyncid0id2.xml,tadSyncid4id1.xml,Template10,FAILED,13,3,6
tadSyncid4id1.xml,tadSyncid0id2.xml,Template6,TIMEOUT,12,12,7
tadSyncid4id3.xml,tadSyncid4id1.xml,Template1,FAILED,16,11,6
tadSyncid4id1.xml,tadSyncid4id3.xml,Template18,TIMEOUT,21,21,6
tadSyncid4id1.xml,tadSyncid1id5.xml,Template8,TIMEOUT,9,9,23
tadSyncid1id5.xml,tadSyncid4id1.xml,Template10,FAILED,10,4,6
tadSyncid2id0.xml,tadSyncid4id1.xml,Template7,FAILED,12,3,6
tadSyncid4id1.xml,tadSyncid2id0.xml,Template8,TIMEOUT,13,13,6
tadSyncid4id1.xml,tmi12.xml,Template9,TIMEOUT,9,9,6
tmi12.xml,tadSyncid4id1.xml,Template7,FAILED,11,2,6
smiTemplateid1.xml,tadSyncid4id1.xml,Template2,FAILED,14,1,5
tadSyncid4id1.xml,smiTemplateid1.xml,Template4,TIMEOUT,14,14,5
tmi10.xml,tadSyncid4id1.xml,Template7,FAILED,10,5,7
tadSyncid4id1.xml,tmi10.xml,Template8,TIMEOUT,8,8,26
tadSyncid3id3.xml,tadSyncid4id1.xml,Template3,FAILED,15,8,6
tadSyncid4id1.xml,tadSyncid3id3.xml,Template14,TIMEOUT,15,15,24
tadSyncid4id1.xml,tadSyncid0id5.xml,Template5,TIMEOUT,9,9,25
tadSyncid0id5.xml,tadSyncid4id1.xml,Template10,FAILED,10,2,6
tadSyncid4id1.xml,tadSyncid5id2.xml,Template6,TIMEOUT,7,7,5
tadSyncid5id2.xml,tadSyncid4id1.xml,Template5,FAILED,7,4,6
tmi11.xml,tadSyncid4id1.xml,Template6,FAILED,8,3,5
tadSyncid4id1.xml,tmi11.xml,Template4,TIMEOUT,8,8,6
ccn2.xml,tadSyncid3id4.xml,Template10,TIMEOUT,12,12,24
tadSyncid3id4.xml,ccn2.xml,Template5,TIMEOUT,16,16,35
ccn2.xml,tadSyncid2id4.xml,Template7,TIMEOUT,14,14,6
tadSyncid2id4.xml,ccn2.xml,Template9,TIMEOUT,13,13,5
ccn2.xml,smiTemplateid4.xml,Template7,TIMEOUT,9,9,6
smiTemplateid4.xml,ccn2.xml,Template9,FAILED,9,1,6
ccn2.xml,tadSyncid0id0.xml,Template20,TIMEOUT,22,22,6
tadSyncid0id0.xml,ccn2.xml,Template9,TIMEOUT,17,17,6
ccn2.xml,tadSyncid3id0.xml,Template5,TIMEOUT,24,24,5
tadSyncid3id0.xml,ccn2.xml,Template8,TIMEOUT,24,24,28
ccn2.xml,tmi4.xml,Template1,TIMEOUT,16,16,5
tmi4.xml,ccn2.xml,Template19,FAILED,20,8,6
ccn2.xml,tadSyncid0id3.xml,Template2,FAILED,20,12,6
tadSyncid0id3.xml,ccn2.xml,Template13,TIMEOUT,13,13,24
ccn2.xml,tadSyncid0id4.xml,Template5,TIMEOUT,17,17,5
tadSyncid0id4.xml,ccn2.xml,Template7,TIMEOUT,17,17,29
ccn2.xml,tadSyncid3id2.xml,Template1,TIMEOUT,20,20,25
tadSyncid3id2.xml,ccn2.xml,Template13,TIMEOUT,19,19,5
ccn2.xml,tadSyncid5id0.xml,Template1,FAILED,16,1,6
tadSyncid5id0.xml,ccn2.xml,Template9,TIMEOUT,16,16,5
ccn2.xml,tadSyncid3id1.xml,Template1,TIMEOUT,20,20,6
tadSyncid3id1.xml,ccn2.xml,Template3,TIMEOUT,20,20,26
ccn2.xml,tadSyncid1id4.xml,Template8,TIMEOUT,17,17,6
tadSyncid1id4.xml,ccn2.xml,Template10,TIMEOUT,12,12,24
ccn2.xml,tadSyncid2id3.xml,Template2,FAILED,19,8,5
tadSyncid2id3.xml,ccn2.xml,Template1,TIMEOUT,17,17,5
ccn2.xml,tadSyncid5id3.xml,Template2,FAILED,18,18,5
tadSyncid5id3.xml,ccn2.xml,Template3,TIMEOUT,17,17,5
ccn2.xml,tmi13.xml,Template9,TIMEOUT,14,14,5
tmi13.xml,ccn2.xml,Template9,FAILED,12,1,7
ccn2.xml,tadSyncid5id1.xml,Template13,FAILED,16,2,7
tadSyncid5id1.xml,ccn2.xml,Template2,TIMEOUT,13,13,5
ccn2.xml,tmi6.xml,Template18,TIMEOUT,19,19,5
tmi6.xml,ccn2.xml,Template17,TIMEOUT,23,23,6
ccn2.xml,tadSyncid5id5.xml,Template9,TIMEOUT,15,15,23
tadSyncid5id5.xml,ccn2.xml,Template11,TIMEOUT,18,18,6
ccn2.xml,tadSyncid2id1.xml,Template17,TIMEOUT,18,18,5
tadSyncid2id1.xml,ccn2.xml,Template3,TIMEOUT,20,20,6
ccn2.xml,tadSyncid4id4.xml,Template2,TIMEOUT,11,11,7
tadSyncid4id4.xml,ccn2.xml,Template1,TIMEOUT,15,15,6
ccn2.xml,tmi2.xml,Template1,TIMEOUT,12,12,7
tmi2.xml,ccn2.xml,Template12,TIMEOUT,12,12,24
ccn2.xml,tadSyncid1id0.xml,Template1,TIMEOUT,19,19,5
tadSyncid1id0.xml,ccn2.xml,Template1,TIMEOUT,14,14,6
ccn2.xml,tadSyncid0id2.xml,Template10,TIMEOUT,19,19,5
